Absinthe,451
Ajwan,137
Alasande Gram,281
Almond(Badam),325
Alsandikai,166
Amaranthus,86
Ambada Seed,130
Ambady/Mesta,417
Amla(Nelli Kai),355
Amphophalus,102
Amranthas Red,419
Antawala,209
Anthorium,379
Apple,17
Apricot(Jardalu/Khumani),326
Arecanut(Betelnut/Supari),140
Arhar (Tur/Red Gram)(Whole),49
Arhar Dal(Tur Dal),260
Asalia,444
Asgand,505
Ashgourd,83
Ashoka,506
Ashwagandha,443
Asparagus,434
Astera,232
Atis,507
Avare Dal,269
Bael,418
Bajji chilli,491
Bajra(Pearl Millet/Cumbu),28
Balekai,274
balsam,482
Bamboo,204
Banana,19
Banana - Green,90
Banana flower,483
Banana Leaf,485
Banana stem,484
Barley (Jau),29
basil,435
Bay leaf (Tejpatta),321
Beans,94
Beaten Rice,262
Beetroot,157
Behada,508
Bengal Gram Dal (Chana Dal),263
Bengal Gram(Gram)(Whole),6
Ber(Zizyphus/Borehannu),357
Betal Leaves,143
Betelnuts,41
Bhindi(Ladies Finger),85
Bhui Amlaya,448
Big Gram,113
Binoula,51
Bitter gourd,81
Black Gram (Urd Beans)(Whole),8
Black Gram Dal (Urd Dal),264
Black pepper,38
BOP,380
Borehannu,189
Bottle gourd,82
Brahmi,449
Bran,290
Bread Fruit,497
Brinjal,35
Brocoli,487
Broken Rice,293
Broomstick(Flower Broom),320
Bull,214
Bullar,284
Bunch Beans,224
Butter,272
buttery,416
Cabbage,154
Calendula,480
Calf,215
Camel Hair,354
Cane,205
Capsicum,164
Cardamoms,40
Carnation,375
Carrot,153
Cashew Kernnel,238
Cashewnuts,36
Castor Oil,270
Castor Seed,123
Cauliflower,34
Chakotha,188
Chandrashoor,438
Chapparad Avare,169
Chennangi (Whole),241
Chennangi Dal,295
Cherry,328
Chikoos(Sapota),71
Chili Red,26
Chilly Capsicum,88
Chironji,509
Chow Chow,167
Chrysanthemum,402
Chrysanthemum(Loose),231
Cinamon(Dalchini),316
cineraria,467
Clarkia,478
Cloves,105
Cluster beans,80
Coca,315
Cock,368
Cocoa,104
Coconut,138
Coconut Oil,266
Coconut Seed,112
Coffee,45
Colacasia,318
Copra,129
Coriander(Leaves),43
Corriander seed,108
