Araria,19
Arwal,94
Aurangabad,20
Banka,21
Begusarai,1
Bhagalpur,2
Bhojpur,23
Buxar,25
Chhapra,55
Darbhanga,4
East Champaran/ Motihari,26
Gaya,9
Gopalgang,30
Jamui,32
Jehanabad,33
Kaimur/Bhabhua,96
Kaithar,11
Khagaria,34
Kishanganj,35
Luckeesarai,52
Madhepura,38
Madhubani,12
Munghair,39
Muzaffarpur,13
Nalanda,40
Nawada,41
Patna,14
Purnea,15
Rohtas,17
Saharsa,44
Samastipur,46
Saran,47
Sheikhpura,53
Sheohar,54
Sitamarhi,48
Siwan,18
Supaul,49
Vaishali,50
West Chambaran,51
