Ariyalur,30
Chengalpattu,32
Chennai,15
Coimbatore,1
Cuddalore,2
Dharmapuri,12
Dindigul,13
Erode,3
Kallakuruchi,33
Kancheepuram,4
Karur,14
Krishnagiri,31
Madurai,5
Mayiladuthurai,38
Nagapattinam,16
Nagercoil (Kannyiakumari),17
Namakkal,18
Perambalur,6
Pudukkottai,20
Ramanathapuram,21
Ranipet,34
Salem,22
Sivaganga,23
Tenkasi,35
Thanjavur,7
The Nilgiris,19
Theni,24
Thiruchirappalli,25
Thirunelveli,26
Thirupathur,36
Thirupur,37
Thiruvannamalai,8
Thiruvarur,9
Thiruvellore,27
Tuticorin,28
Vellore,29
Villupuram,10
Virudhunagar,11
